452	2026-07-13T18:16:27.424Z	Artist Tour USA
453	2026-07-13T18:16:27.429Z	Sonata
454	2026-07-13T18:16:27.433Z	RoyalExperienceCollective1
455	2026-07-13T18:16:27.442Z	Victimless Progress
456	2026-07-13T18:16:27.474Z	Moon Medallion
457	2026-07-13T18:16:27.595Z	YNS LilChat
458	2026-07-13T18:16:27.719Z	Half Past Midnight
459	2026-07-13T18:16:27.736Z	Tek
460	2026-07-13T18:16:27.754Z	Big wiz
461	2026-07-13T18:16:27.865Z	Kinni Chicks
462	2026-07-13T18:16:27.875Z	Cody James
463	2026-07-13T18:16:27.986Z	Mike Rafferty
464	2026-07-13T18:16:28.032Z	Half Ivory
465	2026-07-13T18:16:28.130Z	DJ OG Carter
466	2026-07-13T18:16:28.147Z	DJ Killa Beat
467	2026-07-13T18:16:28.163Z	Meiday
468	2026-07-13T18:16:28.251Z	Illusion of Fate
469	2026-07-13T18:16:28.290Z	Alejandro Meola
470	2026-07-13T18:16:28.388Z	Rachel Wyre
471	2026-07-13T18:16:28.392Z	Phonophore Records
472	2026-07-13T18:16:28.436Z	Tla
473	2026-07-13T18:16:28.506Z	Loop Th3ory
474	2026-07-13T18:16:28.536Z	Zach Bellas trio
475	2026-07-13T18:16:28.647Z	Tim McNary
476	2026-07-13T18:16:28.764Z	Second Breakfast String Band
477	2026-07-13T18:16:28.797Z	Tla shawn
478	2026-07-14T04:15:06.105Z	Tequila Thursday
479	2026-07-14T04:15:06.150Z	Open Mic @ Acadia
480	2026-07-14T04:15:06.475Z	TACO TUESDAY with DJ Cam Jones
481	2026-07-14T04:15:57.081Z	Aurora do Samba
482	2026-07-14T04:15:57.096Z	OLIVE KLUG
483	2026-07-14T04:15:57.133Z	FANOOS ENSEMBLE
484	2026-07-14T04:15:57.134Z	SUMMER DEEP LISTENING
485	2026-07-14T04:15:57.193Z	ducksmithson
486	2026-07-14T04:15:57.308Z	Mother Shipton
487	2026-07-14T04:15:57.313Z	MAGIC TUBER STRINGBAND
488	2026-07-14T04:15:57.329Z	Wendy Eisenberg
489	2026-07-14T04:15:57.345Z	SLEEPYTIME GORILLA MUSEUM
490	2026-07-14T04:15:57.363Z	THE FOXGLOVES
491	2026-07-14T04:15:57.412Z	WILD CHILD
492	2026-07-14T04:15:57.444Z	ML BUCH
493	2026-07-14T04:15:57.451Z	TAIGA
494	2026-07-14T04:15:57.457Z	Lee Noble
495	2026-07-14T04:15:57.549Z	DANIEL VILLARREAL
496	2026-07-14T04:15:57.566Z	CINEMA THERAPY
497	2026-07-14T04:15:57.579Z	Alpha Consumer
498	2026-07-14T04:15:57.595Z	MATT GOLD
